Sex,Length,Diameter,Whole weight,Shucked weight,Viscera weight,Shell weight,log_Height,Rings
F,0.685,0.545,1.768,0.7495,0.392,0.485,0.16551443847757338,16
M,0.605,0.49,1.227,0.48,0.287,0.35,0.16551443847757338,18
F,0.59,0.465,0.997,0.392,0.246,0.34,0.13976194237515868,12
F,0.65,0.525,1.4225,0.61,0.2995,0.445,0.16126814759612226,20
F,0.6,0.48,1.029,0.4085,0.2705,0.295,0.13976194237515868,16
F,0.62,0.5,1.186,0.4985,0.3015,0.35,0.16126814759612226,12
M,0.63,0.515,1.016,0.4215,0.244,0.355,0.14842000511827327,19
M,0.58,0.465,0.887,0.4405,0.1655,0.265,0.13540463700620295,11
F,0.58,0.455,1.0735,0.479,0.2735,0.265,0.11332868530700317,10
M,0.63,0.49,1.13,0.458,0.2765,0.315,0.16551443847757338,12
F,0.69,0.56,1.719,0.68,0.299,0.47,0.1947440767925118,17
F,0.65,0.545,1.566,0.6645,0.3455,0.415,0.1527210870176639,16
F,0.66,0.565,1.7605,0.692,0.3265,0.5,0.178146185383474,16
F,0.68,0.58,1.787,0.585,0.453,0.6,0.18232155679395462,19
F,0.7,0.575,1.31,0.5095,0.314,0.42,0.15700374880966475,14
M,0.685,0.52,1.343,0.4635,0.292,0.4,0.13976194237515868,13
F,0.675,0.545,1.7345,0.6845,0.3695,0.605,0.178146185383474,20
M,0.63,0.49,1.1775,0.4935,0.3365,0.285,0.173953307123438,11
F,0.585,0.45,1.077,0.4995,0.2875,0.25,0.14842000511827327,10
M,0.565,0.465,0.995,0.3895,0.183,0.37,0.16126814759612226,15
F,0.61,0.495,1.1085,0.3705,0.3135,0.33,0.16974277458709452,12
F,0.605,0.47,1.1405,0.3755,0.2805,0.385,0.16551443847757338,15
M,0.535,0.42,0.791,0.33,0.189,0.25,0.13540463700620295,10
M,0.485,0.4,0.663,0.313,0.137,0.2,0.126632650933366,10
F,0.47,0.375,0.5565,0.226,0.122,0.195,0.11332868530700317,12
M,0.545,0.425,0.8445,0.373,0.21,0.235,0.126632650933366,10
F,0.455,0.37,0.4925,0.216,0.1245,0.135,0.09984533496971613,9
F,0.54,0.42,0.7385,0.3515,0.152,0.215,0.14410034397375684,12
M,0.46,0.38,0.482,0.207,0.1225,0.145,0.126632650933366,10
M,0.49,0.42,0.609,0.239,0.1435,0.22,0.11778303565638346,14
I,0.465,0.375,0.471,0.222,0.119,0.14,0.11332868530700317,9
I,0.415,0.325,0.3215,0.1535,0.0595,0.105,0.09531017980432487,10
M,0.475,0.375,0.593,0.277,0.115,0.18,0.11778303565638346,10
F,0.47,0.375,0.5615,0.252,0.137,0.29513775156141564,0.11778303565638346,10
I,0.365,0.295,0.25,0.1075,0.0545,0.08,0.09075436326846414,9
I,0.345,0.275,0.1995,0.0755,0.0535,0.07,0.09075436326846414,6
I,0.39,0.31,0.302,0.116,0.064,0.115,0.09531017980432487,11
F,0.5,0.395,0.7155,0.3165,0.176,0.24,0.1310282624064041,10
F,0.47,0.38,0.5865,0.2385,0.144,0.185,0.13540463700620295,8
M,0.535,0.44,0.6765,0.256,0.139,0.26,0.13976194237515868,12
M,0.585,0.455,0.987,0.4355,0.2075,0.31,0.13976194237515868,11
F,0.485,0.365,0.5885,0.27,0.131,0.175,0.11332868530700317,9
M,0.515,0.455,0.7225,0.295,0.1625,0.235,0.126632650933366,9
F,0.435,0.325,0.4335,0.178,0.0985,0.155,0.10436001532424277,7
F,0.515,0.415,0.6935,0.3115,0.152,0.2,0.1310282624064041,10
I,0.44,0.345,0.365,0.1655,0.083,0.11,0.11332868530700317,7
F,0.525,0.44,0.8425,0.3685,0.1985,0.24,0.13976194237515868,12
M,0.45,0.355,0.479,0.2125,0.1045,0.15,0.10885440491208208,8
M,0.59,0.485,0.911,0.39,0.182,0.29,0.11332868530700317,16
M,0.555,0.45,0.915,0.4,0.246,0.285,0.13540463700620295,11
M,0.57,0.44,0.827,0.3395,0.2215,0.235,0.09075436326846414,8
M,0.59,0.5,1.1045,0.4565,0.2425,0.34,0.1527210870176639,15
M,0.585,0.475,0.945,0.41,0.2115,0.28,0.11332868530700317,14
F,0.58,0.46,0.9935,0.4625,0.2385,0.28,0.11332868530700317,11
M,0.545,0.44,0.8565,0.3475,0.1715,0.24,0.11332868530700317,12
F,0.605,0.495,1.0224226985242446,0.528,0.2465,0.39,0.15700374880966475,14
F,0.62,0.47,1.0325,0.3605,0.224,0.36,0.1310282624064041,15
F,0.63,0.5,1.3135,0.5595,0.267,0.4,0.15700374880966475,20
F,0.63,0.515,1.352,0.488,0.349,0.45,0.1527210870176639,20
F,0.63,0.5,1.005,0.367,0.199,0.36,0.14410034397375684,16
M,0.545,0.41,0.625,0.223,0.16,0.235,0.1310282624064041,13
F,0.67,0.54,1.5015,0.518,0.358,0.505,0.1527210870176639,14
I,0.49,0.38,0.529,0.2165,0.139,0.155,0.11332868530700317,11
F,0.49,0.39,0.5785,0.2465,0.123,0.2,0.126632650933366,13
I,0.29,0.225,0.101,0.036,0.0235,0.035,0.06765864847381481,8
I,0.26,0.2,0.092,0.037,0.02,0.03,0.06765864847381481,6
M,0.58,0.45,1.068,0.425,0.203,0.32,0.16126814759612226,13
F,0.61,0.485,1.0915,0.3935,0.2435,0.33,0.1527210870176639,18
M,0.6,0.43833921015514804,1.015,0.3995,0.1735,0.33,0.14842000511827327,19
F,0.56,0.455,0.943,0.344,0.129,0.375,0.11778303565638346,21
F,0.575,0.45,1.0475,0.3775,0.1705,0.385,0.15700374880966475,18
F,0.57,0.45,0.9555,0.38,0.1665,0.295,0.16126814759612226,18
M,0.6,0.47,1.036,0.4375,0.196,0.325,0.14410034397375684,20
M,0.565,0.455,0.9065,0.342,0.156,0.32,0.15700374880966475,18
M,0.545,0.42,0.7505,0.2475,0.13,0.255,0.1310282624064041,22
I,0.44,0.345,0.366,0.122,0.0905,0.12,0.09531017980432487,13
M,0.5,0.41,0.662,0.2815,0.137,0.22,0.13976194237515868,11
I,0.36,0.275,0.217,0.084,0.0435,0.09,0.09075436326846414,7
I,0.385,0.305,0.252,0.0915,0.055,0.09,0.09075436326846414,14
M,0.39,0.3,0.3055,0.143,0.0645,0.085,0.08617769624105233,9
M,0.5,0.415,0.6885,0.249,0.138,0.25,0.1527210870176639,13
F,0.36,0.275,0.2335,0.095,0.0525,0.085,0.10436001532424277,10
I,0.335,0.26,0.192,0.0785,0.0585,0.07,0.09531017980432487,8
F,0.505,0.425,0.85,0.275,0.1625,0.285,0.1310282624064041,19
F,0.395,0.295,0.2715,0.134,0.0325,0.085,0.09531017980432487,10
F,0.41,0.325,0.3635,0.159,0.077,0.12,0.09984533496971613,10
F,0.56,0.455,0.714,0.283,0.129,0.275,0.173953307123438,9
M,0.565,0.435,0.9815,0.329,0.136,0.39,0.16974277458709452,13
M,0.565,0.455,0.9265,0.354,0.1575,0.375,0.16974277458709452,16
M,0.605,0.5,1.098,0.4765,0.232,0.375,0.16126814759612226,12
F,0.565,0.4492524682651622,0.8205,0.365,0.159,0.26,0.13976194237515868,18
M,0.725,0.565,1.891,0.6975,0.4725,0.58,0.1947440767925118,16
F,0.675,0.535,1.41,0.592,0.3175,0.42,0.14842000511827327,16
F,0.665,0.555,1.4385,0.581,0.354,0.36,0.178146185383474,17
F,0.565,0.49,0.9245,0.405,0.2195,0.255,0.14410034397375684,11
F,0.645,0.55,1.2915,0.57,0.3045,0.33,0.16126814759612226,14
M,0.575,0.47,0.8375,0.3485,0.1735,0.24,0.1310282624064041,11
F,0.64,0.54,1.221,0.51,0.259,0.39,0.16126814759612226,15
I,0.36,0.28,0.199,0.0695,0.045,0.08,0.09984533496971613,9
I,0.415,0.31,0.2965,0.123,0.057,0.0995,0.10436001532424277,10
F,0.525,0.41,0.7085,0.293,0.1525,0.235,0.126632650933366,11
M,0.38,0.285,0.2665,0.115,0.061,0.075,0.09531017980432487,11
F,0.585,0.465,0.9915,0.3865,0.224,0.265,0.15700374880966475,12
I,0.24,0.185,0.0715,0.026,0.018,0.025,0.06765864847381481,6
I,0.22,0.165,0.0545,0.0215,0.012,0.02,0.05354076692802982,5
I,0.255,0.195,0.0735,0.0255,0.02,0.025,0.06765864847381481,6
I,0.175,0.125,0.0235,0.008,0.0035,0.008,0.04879016416943201,5
F,0.67,0.55,1.3905,0.5425,0.3035,0.4,0.173953307123438,12
M,0.655,0.53,1.388,0.567,0.2735,0.41,0.178146185383474,13
F,0.68,0.55,1.7445,0.5975,0.305,0.625,0.19062035960864973,17
M,0.675,0.555,1.4385,0.545,0.2665,0.465,0.18232155679395462,21
F,0.53,0.44,0.7835,0.313,0.1715,0.2185,0.126632650933366,9
F,0.515,0.405,0.646,0.2895,0.1405,0.177,0.11332868530700317,10
I,0.43,0.34,0.3575,0.151,0.0645,0.1045,0.11332868530700317,9
F,0.52,0.405,0.627,0.2645,0.1415,0.181,0.11332868530700317,11
F,0.545,0.415,0.7715,0.272,0.1455,0.2765,0.14842000511827327,10
M,0.53,0.415,0.7395,0.261,0.1395,0.2645,0.16126814759612226,17
F,0.465,0.35,0.421,0.1565,0.091,0.1345,0.10885440491208208,9
M,0.665,0.54,1.347,0.4955,0.254,0.415,0.16126814759612226,17
M,0.735,0.59,1.756,0.637,0.3405,0.58,0.20294084399669032,21
M,0.66,0.545,1.32,0.5305,0.2635,0.455,0.16974277458709452,16
F,0.7,0.585,1.8075,0.7055,0.3215,0.475,0.16974277458709452,29
M,0.575,0.4,0.9325,0.3605,0.2445,0.3,0.14410034397375684,17
M,0.57,0.465,0.849,0.3785,0.1765,0.24,0.11778303565638346,15
F,0.58,0.46,0.9955,0.429,0.212,0.26,0.13976194237515868,19
M,0.63,0.48,1.0115,0.4235,0.237,0.305,0.13540463700620295,12
F,0.585,0.465,0.908,0.381,0.1615,0.315,0.1310282624064041,13
M,0.55,0.45,0.92,0.378,0.2385,0.29,0.12221763272424921,11
F,0.625,0.515,1.2415,0.5235,0.3065,0.36,0.13976194237515868,15
M,0.54,0.42,0.8075,0.3485,0.1795,0.235,0.126632650933366,11
F,0.57,0.455,1.0595,0.44,0.2195,0.285,0.1527210870176639,14
M,0.59,0.455,1.073,0.475,0.19,0.285,0.13540463700620295,14
M,0.58,0.46,0.921,0.357,0.181,0.29,0.12221763272424921,13
F,0.655,0.51,1.2895,0.5345,0.2855,0.41,0.14410034397375684,11
M,0.655,0.53,1.2635,0.486,0.2635,0.415,0.16126814759612226,15
M,0.625,0.5,1.369,0.5875,0.2185,0.37,0.178146185383474,17
F,0.625,0.5,0.953,0.3445,0.2235,0.305,0.13976194237515868,15
F,0.64,0.52,1.248,0.4245,0.2595,0.48,0.16126814759612226,12
F,0.605,0.485,1.0105,0.435,0.209,0.3,0.1527210870176639,19
F,0.615,0.525,1.0385,0.427,0.2315,0.345,0.14410034397375684,11
M,0.555,0.45,0.874,0.3275,0.202,0.305,0.16126814759612226,10
F,0.58,0.44,0.854,0.3665,0.1635,0.245,0.16551443847757338,12
F,0.62,0.52,1.1835,0.378,0.27,0.395,0.20294084399669032,23
F,0.62,0.47,1.115,0.378,0.2145,0.36,0.20294084399669032,15
F,0.6,0.505,1.129,0.4385,0.256,0.36,0.173953307123438,13
F,0.625,0.485,1.1745,0.4385,0.2305,0.42,0.173953307123438,17
M,0.6,0.47,1.105,0.4865,0.247,0.315,0.16126814759612226,15
M,0.56,0.46,0.8395,0.3325,0.157,0.305,0.21107097007994052,12
M,0.585,0.455,1.055,0.3815,0.221,0.365,0.20294084399669032,15
M,0.56,0.435,0.889,0.36,0.204,0.25,0.16551443847757338,11
I,0.56,0.445,0.8735,0.3005,0.209,0.275,0.14410034397375684,16
I,0.68,0.53,1.1095,0.439,0.245,0.34,0.16974277458709452,10
F,0.455,0.35,0.5185,0.221,0.1265,0.135,0.1310282624064041,10
F,0.49,0.38,0.6725,0.249,0.181,0.21,0.13540463700620295,10
M,0.31,0.22,0.146,0.061,0.0365,0.045,0.08157998699242289,6
F,0.275,0.195,0.08,0.031,0.0215,0.025,0.06765864847381481,5
M,0.27,0.195,0.1,0.0385,0.0195,0.03,0.07696104113612832,6
M,0.4,0.29,0.2795,0.1115,0.0575,0.075,0.10885440491208208,9
M,0.28,0.2,0.0915,0.033,0.0215,0.03,0.07696104113612832,5
M,0.325,0.23,0.147,0.06,0.034,0.045,0.08617769624105233,4
F,0.345,0.25,0.203,0.078,0.059,0.29513775156141564,0.08617769624105233,6
M,0.21,0.15,0.0385,0.0155,0.0085,0.01,0.04879016416943201,3
F,0.36,0.27,0.1885,0.0845,0.0385,0.055,0.08617769624105233,5
I,0.365,0.26,0.218,0.0935,0.0445,0.07,0.10885440491208208,9
M,0.2,0.14,0.035,0.0145,0.008,0.01,0.05354076692802982,5
M,0.235,0.16,0.0545,0.0265,0.0095,0.015,0.058268908123975775,4
M,0.175,0.125,0.024,0.0095,0.006,0.005,0.039220713153281295,4
M,0.155,0.11,0.0155,0.0065,0.003,0.005,0.039220713153281295,3
F,0.57,0.445,0.733,0.282,0.159,0.235,0.14410034397375684,14
F,0.57,0.45,0.9715,0.3965,0.255,0.26,0.14842000511827327,12
M,0.385,0.3,0.24,0.0885,0.059,0.085,0.09075436326846414,9
I,0.53,0.42,0.752,0.299,0.156,0.205,0.16974277458709452,20
F,0.46,0.355,0.458,0.192,0.1055,0.13,0.12221763272424921,13
I,0.47,0.37,0.4705,0.1845,0.1055,0.155,0.11332868530700317,12
F,0.435,0.335,0.38,0.1695,0.086,0.11,0.10436001532424277,9
I,0.47,0.37,0.4985,0.2095,0.1225,0.145,0.1310282624064041,10
I,0.465,0.38,0.454,0.1895,0.08,0.155,0.12221763272424921,11
I,0.52,0.405,0.5775,0.2,0.145,0.179,0.1310282624064041,11
M,0.29,0.23,0.1165,0.043,0.0255,0.04,0.0723206615796261,7
M,0.275,0.205,0.094,0.0335,0.02,0.0325,0.06765864847381481,5
F,0.375,0.29,0.2705,0.093,0.066,0.0885,0.10885440491208208,10
F,0.5,0.375,0.604,0.242,0.1415,0.179,0.1310282624064041,15
F,0.44,0.355,0.415,0.1585,0.0925,0.131,0.10885440491208208,11
M,0.42,0.325,0.2885,0.1,0.057,0.1135,0.10885440491208208,15
M,0.445,0.35,0.3615,0.1565,0.0695,0.117,0.10885440491208208,8
F,0.38,0.29,0.257,0.099,0.051,0.085,0.09984533496971613,10
M,0.32,0.245,0.1555,0.0585,0.038,0.049,0.0723206615796261,11
M,0.255,0.195,0.08,0.0315,0.018,0.027,0.06297479916138843,8
M,0.205,0.155,0.0425,0.017,0.0055,0.0155,0.04401688541677432,7
F,0.565,0.45,0.795,0.3605,0.1555,0.23,0.14842000511827327,12
I,0.555,0.425,0.875,0.3695,0.2005,0.255,0.16551443847757338,11
I,0.65,0.515,1.1625,0.495,0.203,0.33,0.14842000511827327,17
I,0.615,0.49,0.9885,0.4145,0.195,0.345,0.14410034397375684,13
I,0.56,0.44,0.8,0.335,0.1735,0.25,0.1527210870176639,12
I,0.48,0.37,0.514,0.2075,0.131,0.155,0.11332868530700317,13
I,0.485,0.39,0.591,0.287,0.141,0.12,0.11778303565638346,9
I,0.5,0.385,0.6265,0.2605,0.1665,0.16,0.13976194237515868,10
I,0.525,0.405,0.795,0.3075,0.205,0.255,0.13976194237515868,14
F,0.66,0.5,1.1905,0.4585,0.298,0.37,0.1527210870176639,12
F,0.66,0.53,1.326,0.519,0.2625,0.44,0.15700374880966475,13
I,0.52,0.4,0.66,0.267,0.1055,0.12803508771929822,0.13540463700620295,13
F,0.44,0.34,0.364,0.148,0.0805,0.1175,0.09984533496971613,8
I,0.515,0.4,0.43063559999999995,0.2705,0.179,0.17,0.11332868530700317,13
F,0.475,0.35,0.452,0.1715,0.092,0.155,0.10885440491208208,11
F,0.545,0.415,0.7335,0.2795,0.163,0.2185,0.13976194237515868,11
F,0.47,0.355,0.5465,0.2005,0.126,0.185,0.12221763272424921,14
M,0.35,0.255,0.179,0.0705,0.0385,0.06,0.06297479916138843,10
I,0.485,0.355,0.581,0.245,0.132,0.168,0.12221763272424921,12
I,0.435,0.33,0.406,0.1685,0.1055,0.096,0.11778303565638346,12
M,0.28,0.21,0.1085,0.041,0.0265,0.0345,0.07696104113612832,7
F,0.41,0.32,0.387,0.165,0.1005,0.0985,0.10885440491208208,11
I,0.45,0.35,0.474,0.21,0.109,0.1275,0.1310282624064041,16
I,0.45,0.345,0.443,0.1975,0.0875,0.1175,0.126632650933366,14
F,0.59,0.455,1.066,0.382,0.2275,0.415,0.14410034397375684,20
F,0.57,0.44,0.9535,0.3785,0.201,0.305,0.1310282624064041,17
I,0.61,0.475,0.9665,0.4145,0.2,0.345,0.13976194237515868,10
F,0.61,0.475,1.0224226985242446,0.5275,0.2355,0.35,0.1310282624064041,11
I,0.56,0.425,0.9175,0.4005,0.1975,0.26,0.1310282624064041,10
F,0.585,0.435,0.982,0.4055,0.2495,0.27,0.16126814759612226,10
I,0.58,0.445,0.8865,0.383,0.209,0.255,0.13976194237515868,11
F,0.63,0.48,1.3675,0.5015,0.3035,0.515,0.16126814759612226,17
F,0.625,0.49,1.233,0.5565,0.247,0.365,0.16126814759612226,11
I,0.55,0.425,0.806,0.376,0.171,0.245,0.13976194237515868,14
F,0.645,0.525,1.4635,0.6615,0.3435,0.435,0.173953307123438,19
I,0.46,0.355,0.4935,0.216,0.133,0.115,0.1310282624064041,13
F,0.41,0.305,0.363,0.1735,0.065,0.11,0.09531017980432487,11
I,0.495,0.39,0.6655,0.284,0.162,0.2,0.11778303565638346,11
I,0.52,0.3257367149758454,0.6805,0.28,0.174,0.195,0.15700374880966475,10
F,0.55,0.41,0.8285,0.3095,0.1905,0.25,0.13540463700620295,13
M,0.45,0.335,0.4625,0.164,0.076,0.15,0.1310282624064041,14
F,0.405,0.31,0.3095,0.138,0.058,0.095,0.11332868530700317,13
I,0.51,0.4,0.745,0.2865,0.1675,0.235,0.13976194237515868,13
F,0.37,0.29,0.25,0.111,0.057,0.075,0.10885440491208208,9
I,0.525,0.41,0.874,0.3585,0.207,0.205,0.16126814759612226,18
F,0.66,0.52,1.514,0.526,0.2975,0.42,0.16551443847757338,19
M,0.535,0.42,0.6995,0.2575,0.153,0.24,0.13976194237515868,12
I,0.575,0.455,0.8525,0.3015,0.1825,0.3,0.16551443847757338,13
F,0.55,0.43,0.7135,0.2565,0.186,0.225,0.1310282624064041,9
I,0.605,0.47,0.939,0.3385,0.201,0.32,0.1310282624064041,13
F,0.605,0.495,1.054,0.369,0.2255,0.36,0.13540463700620295,12
F,0.56,0.445,0.981,0.305,0.2245,0.335,0.178146185383474,16
I,0.535,0.42,0.926,0.398,0.1965,0.25,0.13540463700620295,17
F,0.385,0.315,0.286,0.1225,0.0635,0.0835,0.10436001532424277,10
F,0.39,0.3,0.265,0.1075,0.06,0.0865,0.09531017980432487,13
I,0.47,0.345,0.4885,0.2005,0.108,0.166,0.10885440491208208,11
I,0.515,0.39,0.5555,0.2,0.1135,0.2235,0.1310282624064041,12
I,0.425,0.345,0.425,0.16,0.0795,0.154,0.11778303565638346,13
M,0.345,0.27,0.195,0.078,0.0455,0.059,0.08617769624105233,9
I,0.485,0.37,0.458,0.181,0.113,0.136,0.12221763272424921,10
M,0.37,0.285,0.228,0.0675,0.0675,0.081,0.09531017980432487,10
M,0.35,0.265,0.1775,0.0575,0.042,0.068,0.08617769624105233,12
F,0.44,0.345,0.4085,0.15,0.0825,0.1515,0.15700374880966475,12
M,0.195,0.145,0.032,0.01,0.008,0.012,0.04879016416943201,4
M,0.325,0.24,0.155,0.0475,0.0355,0.06,0.0723206615796261,9
I,0.495,0.37,0.4775,0.185,0.0705,0.169,0.11778303565638346,18
I,0.45,0.35,0.525,0.2085,0.1,0.1655,0.13540463700620295,15
F,0.415,0.345,0.3865,0.128,0.07,0.148,0.126632650933366,13
F,0.47,0.355,0.433,0.1525,0.095,0.152,0.1310282624064041,12
M,0.32,0.24,0.17,0.0655,0.047,0.049,0.08157998699242289,7
M,0.31,0.225,0.1295,0.0455,0.0335,0.044,0.0723206615796261,9
M,0.235,0.17,0.0515,0.018,0.0105,0.0195,0.05354076692802982,7
M,0.345,0.255,0.169,0.06,0.0425,0.054,0.07696104113612832,10
I,0.485,0.38,0.673,0.2175,0.13,0.195,0.1310282624064041,18
F,0.5,0.385,0.6785,0.2945,0.138,0.195,0.10885440491208208,12
F,0.5,0.385,0.498,0.1795,0.1095,0.17,0.09984533496971613,17
F,0.465,0.36,0.498,0.214,0.116,0.14,0.09984533496971613,15
F,0.525,0.405,0.658,0.2655,0.1125,0.225,0.14842000511827327,12
F,0.425,0.335,0.322,0.1205,0.061,0.125,0.09075436326846414,10
F,0.38,0.305,0.2815,0.1255,0.0525,0.09,0.09075436326846414,8
I,0.53,0.415,0.944,0.3845,0.185,0.265,0.13540463700620295,21
M,0.34,0.265,0.1835,0.077,0.046,0.065,0.08157998699242289,10
I,0.475,0.3257367149758454,0.49,0.223,0.1235,0.1335,0.10885440491208208,9
F,0.43,0.34,0.391,0.1555,0.095,0.1405,0.11332868530700317,7
M,0.46,0.365,0.467,0.1895,0.0945,0.158,0.11778303565638346,10
I,0.47,0.36,0.5225,0.198,0.1065,0.165,0.12221763272424921,9
M,0.36,0.295,0.2105,0.066,0.0525,0.27988756983240226,0.09531017980432487,9
M,0.355,0.265,0.168,0.05,0.041,0.063,0.08617769624105233,8
M,0.38,0.235,0.258,0.1055,0.054,0.08,0.09531017980432487,7
M,0.355,0.26,0.1905,0.081,0.0485,0.055,0.08157998699242289,6
I,0.44,0.345,0.487,0.1965,0.108,0.16,0.11332868530700317,14
F,0.51,0.4,0.5735,0.219,0.1365,0.195,0.12221763272424921,13
M,0.325,0.24,0.173,0.0795,0.038,0.05,0.08157998699242289,7
I,0.62,0.485,1.1785,0.4675,0.2655,0.39,0.16551443847757338,13
F,0.59,0.45,0.9,0.358,0.156,0.315,0.14842000511827327,19
M,0.33,0.255,0.1875,0.0735,0.045,0.06,0.09075436326846414,7
M,0.45,0.34,0.3715,0.1605,0.0795,0.105,0.12221763272424921,9
I,0.445,0.33,0.347,0.12,0.084,0.105,0.11332868530700317,11
M,0.33,0.215,0.1145,0.045,0.0265,0.035,0.0723206615796261,6
M,0.48,0.375,0.777,0.216,0.13,0.17,0.13540463700620295,9
I,0.46,0.35,0.4885,0.193,0.105,0.155,0.11332868530700317,11
F,0.475,0.36,0.447,0.1695,0.081,0.14,0.11778303565638346,9
M,0.255,0.18,0.079,0.034,0.014,0.025,0.06297479916138843,5
I,0.335,0.245,0.1665,0.0595,0.04,0.06,0.08617769624105233,6
I,0.47,0.35,0.466,0.1845,0.099,0.145,0.12221763272424921,11
M,0.31,0.225,0.1345,0.054,0.024,0.05,0.07696104113612832,7
F,0.37,0.28,0.2305,0.0945,0.0465,0.075,0.10436001532424277,10
M,0.295,0.215,0.129,0.05,0.0295,0.04,0.0723206615796261,7
F,0.555,0.435,0.97,0.336,0.2315,0.295,0.1527210870176639,17
F,0.615,0.515,1.14,0.4305,0.2245,0.42,0.15700374880966475,16
I,0.58,0.49,1.3165,0.5305,0.254,0.12803508771929822,0.178146185383474,18
F,0.585,0.475,0.9585,0.4145,0.1615,0.33,0.16974277458709452,11
I,0.65,0.3257367149758454,1.626,0.597,0.3445,0.53,0.16551443847757338,18
I,0.535,0.45,0.781,0.3055,0.1555,0.295,0.15700374880966475,11
F,0.415,0.34,0.3675,0.146,0.0885,0.12,0.12221763272424921,10
F,0.38,0.305,0.281,0.1045,0.0615,0.09,0.09984533496971613,12
I,0.45,0.355,0.412,0.1145,0.0665,0.16,0.11332868530700317,19
F,0.395,0.295,0.2245,0.078,0.054,0.08,0.09075436326846414,10
M,0.455,0.35,0.4835,0.1815,0.144,0.16,0.11332868530700317,11
F,0.485,0.38,0.605,0.2155,0.14,0.18,0.13976194237515868,15
M,0.55,0.425,0.9175,0.2775,0.243,0.335,0.14410034397375684,13
F,0.45,0.35,0.5425,0.1765,0.123,0.175,0.13540463700620295,13
M,0.475,0.385,0.6175,0.235,0.108,0.215,0.13540463700620295,14
F,0.5,0.38,0.655,0.2405,0.143,0.205,0.14410034397375684,17
F,0.53,0.41,0.8115,0.24,0.169,0.24,0.1527210870176639,19
M,0.49,0.39,0.573,0.225,0.124,0.17,0.13976194237515868,21
F,0.49,0.385,0.7865,0.241,0.14,0.24,0.13976194237515868,23
F,0.52,0.395,0.64,0.158,0.11,0.245,0.16551443847757338,22
M,0.54,0.415,0.74,0.2635,0.168,0.245,0.13540463700620295,12
F,0.5,0.375,0.5945,0.185,0.148,0.19,0.10885440491208208,11
F,0.45,0.38,0.8165,0.25,0.1915,0.265,0.1527210870176639,23
F,0.37,0.275,0.2225,0.093,0.026,0.08,0.09531017980432487,8
I,0.37,0.275,0.2295,0.0885,0.0465,0.07,0.09531017980432487,7
M,0.485,0.37,0.5725,0.204,0.1415,0.175,0.1310282624064041,10
F,0.435,0.325,0.3915,0.154,0.094,0.12,0.10885440491208208,7
F,0.535,0.405,0.8345,0.3175,0.1725,0.29,0.16974277458709452,16
M,0.51,0.4,0.6515,0.2455,0.1665,0.185,0.1310282624064041,10
F,0.565,0.44,0.909,0.344,0.2325,0.255,0.16974277458709452,15
F,0.535,0.4,0.8045,0.3345,0.2125,0.21,0.13976194237515868,13
F,0.535,0.405,0.927,0.26,0.1425,0.345,0.11778303565638346,16
M,0.525,0.4,0.7305,0.279,0.2055,0.195,0.15700374880966475,11
F,0.59,0.44,0.9555,0.366,0.2425,0.295,0.13976194237515868,11
M,0.5,0.375,0.636,0.2535,0.145,0.19,0.13976194237515868,10
I,0.255,0.19,0.0865,0.0345,0.0205,0.12803508771929822,0.0723206615796261,5
F,0.43,0.325,0.3865,0.1475,0.1065,0.11,0.10885440491208208,11
M,0.38,0.29,0.283,0.1175,0.0655,0.085,0.11332868530700317,9
F,0.165,0.11,0.019,0.0065,0.0025,0.005,0.019802627296179712,4
I,0.315,0.23,0.1285,0.043,0.04,0.04,0.08617769624105233,7
I,0.155,0.105,0.0175,0.005,0.0035,0.005,0.04879016416943201,4
M,0.28,0.205,0.1165,0.0545,0.0285,0.03,0.09531017980432487,5
F,0.43,0.335,0.444,0.155,0.1145,0.14,0.11332868530700317,13
F,0.395,0.315,0.3515,0.1185,0.091,0.1195,0.09984533496971613,16
M,0.385,0.285,0.2905,0.1215,0.0685,0.0875,0.09984533496971613,12
F,0.48,0.385,0.536,0.1895,0.142,0.173,0.126632650933366,14
F,0.445,0.33,0.4525,0.18,0.103,0.123,0.09984533496971613,9
M,0.395,0.295,0.316,0.1205,0.0595,0.1105,0.10885440491208208,12
M,0.4,0.3,0.417,0.191,0.09,0.1175,0.11778303565638346,9
M,0.415,0.325,0.417,0.1535,0.1015,0.144,0.1310282624064041,10
F,0.315,0.25,0.203,0.0615,0.037,0.0795,0.08617769624105233,11
F,0.345,0.26,0.207,0.0775,0.0435,0.0765,0.08617769624105233,10
M,0.36,0.295,0.2765,0.0895,0.057,0.1005,0.12221763272424921,10
I,0.295,0.225,0.1105,0.0405,0.0245,0.032,0.08617769624105233,7
I,0.325,0.25,0.176,0.0595,0.0355,0.063,0.07696104113612832,7
M,0.375,0.3,0.2465,0.104,0.0475,0.083,0.09531017980432487,11
I,0.28,0.205,0.1135,0.045,0.0275,0.0335,0.05354076692802982,7
M,0.355,0.265,0.201,0.069,0.053,0.0695,0.08157998699242289,8
M,0.35,0.255,0.1915,0.08,0.0385,0.063,0.07696104113612832,9
I,0.275,0.2,0.1035,0.0475,0.0205,0.03,0.06297479916138843,7
I,0.29,0.205,0.0975,0.036,0.019,0.035,0.06765864847381481,8
I,0.25,0.19,0.0765,0.036,0.0115,0.0245,0.058268908123975775,6
I,0.18,0.125,0.0265,0.0095,0.0055,0.0085,0.034401426717332394,4
